epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41092,1.02389,4.54277,1.12232,0,0,0,0,0.91786,4.42095,0.99449,3.25e-05,3.25e-05,3.25e-05
2,11.899,1.06435,4.48408,1.13937,0,0,0,0,0.94331,4.3673,0.99981,6.41588e-05,6.41588e-05,6.41588e-05
3,17.2187,1.01489,4.34383,1.13289,0.06165,0.0415,0.03084,0.02391,0.9672,4.26675,0.99814,9.23525e-05,9.23525e-05,9.23525e-05
4,22.7024,1.06007,4.20426,1.13993,0.08047,0.09122,0.05834,0.04635,0.9703,4.09668,1.00364,0.000117081,0.000117081,0.000117081
5,28.0799,1.02683,4.02996,1.11815,0.04903,0.20135,0.08756,0.06383,1.01633,3.83632,1.02939,0.000138345,0.000138345,0.000138345
6,33.4024,1.04342,3.87074,1.13142,0.8696,0.07223,0.11277,0.07834,1.01824,3.48382,1.04072,0.000156144,0.000156144,0.000156144
7,38.7266,1.07004,3.68286,1.14689,0.86106,0.08782,0.1293,0.09019,1.02457,3.25341,1.04649,0.000170477,0.000170477,0.000170477
8,44.1144,1.04832,3.56275,1.11237,0.73212,0.11891,0.16722,0.12095,1.04011,3.04255,1.04754,0.000163375,0.000163375,0.000163375
9,49.5309,1.10727,3.39927,1.14412,0.63541,0.14092,0.1909,0.14517,1.01129,2.94614,1.03624,0.000151,0.000151,0.000151
10,55.0143,1.04274,3.3261,1.14308,0.76344,0.16357,0.21741,0.16912,0.98937,2.73539,1.02703,0.000138625,0.000138625,0.000138625
11,60.0699,1.03855,3.01469,1.13149,0.6398,0.19875,0.22046,0.1703,0.96827,2.53144,1.02738,0.00012625,0.00012625,0.00012625
12,65.0271,1.03375,2.91198,1.09729,0.82351,0.1816,0.24997,0.19473,0.97887,2.38698,1.03298,0.000113875,0.000113875,0.000113875
13,69.8923,0.99119,2.81176,1.10229,0.63806,0.19479,0.27695,0.20117,0.96929,2.32836,1.02687,0.0001015,0.0001015,0.0001015
14,74.7534,0.97854,2.7604,1.07259,0.73873,0.20184,0.27328,0.21566,0.94768,2.21655,1.01969,8.9125e-05,8.9125e-05,8.9125e-05
15,79.6419,0.95981,2.6485,1.07576,0.63837,0.24016,0.29551,0.2338,0.93141,2.13161,1.00765,7.675e-05,7.675e-05,7.675e-05
16,84.534,0.9609,2.54685,1.07048,0.68876,0.24887,0.32189,0.26304,0.91943,2.04618,1.00127,6.4375e-05,6.4375e-05,6.4375e-05
17,89.5678,0.95786,2.50966,1.04619,0.69901,0.26752,0.33902,0.28066,0.91476,2.00273,1.001,5.2e-05,5.2e-05,5.2e-05
18,94.5228,0.92294,2.49903,1.05642,0.73583,0.2559,0.35615,0.29685,0.90042,1.95458,0.99618,3.9625e-05,3.9625e-05,3.9625e-05
19,99.4034,0.904,2.4767,1.04111,0.74991,0.25456,0.36284,0.30439,0.89832,1.93221,0.99455,2.725e-05,2.725e-05,2.725e-05
20,104.295,0.92378,2.42853,1.02699,0.73186,0.25923,0.37228,0.31386,0.8935,1.92015,0.99142,1.4875e-05,1.4875e-05,1.4875e-05
